1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.145470	0.000000	161.885986	0.005944	125
1	-1.160649	0.000000	161.885986	0.012139	11
2	-1.189604	0.000000	161.885986	0.005311	11
3	-1.195284	0.000000	161.885986	0.008379	11
4	-1.199290	0.000000	161.885986	0.007150	11
5	-1.176499	0.000000	161.885986	0.003846	11
6	-1.169742	0.000000	161.885986	0.005089	11
7	-1.186809	0.000000	161.885986	0.002792	11
8	-1.205220	0.000000	161.885986	0.003321	11
9	-1.165598	0.000000	161.885986	0.004169	11
10	-1.189933	0.000000	161.885986	0.003282	11
11	-1.187218	0.000000	161.885986	0.003800	11
12	-1.178341	0.170101	160.585240	0.003742	11
13	-1.223653	0.063018	161.401641	0.004435	11
14	-1.196447	0.000000	161.885986	0.003470	11
15	-1.182556	0.000000	161.885986	0.003006	11
16	-1.219105	0.000000	161.885986	0.006686	11
17	-1.213885	0.000000	161.885986	0.003988	11
18	-1.193003	0.000000	161.885986	0.003982	11
19	-1.181240	0.000000	161.885986	0.003716	11
20	-1.213590	0.000000	161.885986	0.002563	11
21	-1.213706	0.000000	161.885986	0.003682	11
22	-1.197708	0.000000	161.885986	0.002567	11
23	-1.203784	0.921284	155.082416	0.004568	11
24	-1.184177	1.816344	148.998705	0.002540	11
25	-1.212666	1.709185	149.701794	0.001784	11
26	-1.219790	1.619597	150.294708	0.004344	11
27	-1.205787	1.664975	149.993800	0.004850	11
28	-1.207047	1.557781	150.706569	0.006424	11
29	-1.224559	2.557780	144.309255	0.003300	11
30	-1.189144	3.557759	138.433060	0.003723	11
31	-1.225343	3.450575	139.039908	0.004544	11
32	-1.226991	4.450574	133.576778	0.004748	11
33	-1.192891	5.450574	128.526726	0.002674	11
34	-1.235341	6.348954	124.304782	0.003057	11
35	-1.201265	6.241800	124.793723	0.002808	11
36	-1.186713	6.134608	125.286710	0.001964	11
37	-1.236623	6.030793	125.767885	0.003794	11
38	-1.219782	7.005701	121.389772	0.004920	11
39	-1.196810	8.005701	117.204740	0.002298	11
40	-1.180947	8.995618	113.336744	0.002818	11
41	-1.192517	8.888431	113.743196	0.002726	11
42	-1.210500	8.781237	114.152602	0.004717	11
43	-1.206924	9.781237	110.444092	0.003409	11
44	-1.183723	10.781237	106.968956	0.001787	11
45	-1.199550	10.674043	107.330969	0.003163	11
46	-1.235305	10.683753	107.298075	0.002880	11
47	-1.188023	11.681395	104.022663	0.003285	11
48	-1.180391	12.680517	100.936862	0.004944	11
49	-1.233618	12.573323	101.259137	0.002167	11
50	-1.197470	13.012022	99.953062	0.003606	11
51	-1.210257	14.005279	97.116943	0.001511	11
52	-1.223889	13.898152	97.415065	0.004046	11
53	-1.191055	13.791262	97.714354	0.001902	11
54	-1.199219	14.751063	95.091038	0.002486	11
55	-1.210882	15.245953	93.792697	0.003742	11
56	-1.233879	15.138963	94.070374	0.002807	11
57	-1.207689	15.378323	93.451414	0.001865	11
58	-1.219718	15.271157	93.727524	0.002205	11
59	-1.223909	15.164122	94.004929	0.002634	11
60	-1.220139	15.056934	94.284382	0.004308	12
61	-1.204032	16.027124	91.813928	0.002812	11
62	-1.226432	15.919930	92.080503	0.005277	11
63	-1.221345	16.919930	89.652216	0.002492	11
64	-1.245551	16.812809	89.906193	0.003544	11
65	-1.209348	16.705878	90.161160	0.001776	12
66	-1.231522	17.101560	89.224842	0.003667	12
